1.9532,1020.1,84.985,2.5304,20.116,1048.7,544.92,116.27,10.799,7.4491,113.25
1.2191,1020.1,87.523,2.3937,18.584,1045.5,548.5,109.18,10.347,6.4684,112.02
0.94915,1022.2,78.335,2.7789,22.264,1068.8,549.95,125.88,11.256,3.6335,88.147
1.0075,1021.7,76.942,2.817,23.358,1075.2,549.63,132.21,11.702,3.1972,87.078
1.2858,1021.6,76.732,2.8377,23.483,1076.2,549.68,133.58,11.737,2.3833,82.515
1.8319,1021.7,76.411,2.841,23.495,1076.4,549.92,133.58,11.829,2.0812,81.193
2.074,1022,75.974,2.7981,22.945,1073.7,549.98,131.53,11.687,2.2529,83.171
1.7824,1022.6,73.535,2.8327,23.337,1075.7,550.01,133.18,11.745,3.735,85.749
1.593,1023.2,72.873,2.8729,23.654,1078.5,550.06,135.38,11.772,3.6398,86.491
1.6819,1023.8,72.441,2.9058,23.463,1077.9,550.12,134.86,11.742,3.5866,86.328
1.9002,1024.5,71.376,2.9126,23.562,1078.2,550.12,134.98,11.77,3.5605,84.117
1.7797,1025.1,68.528,2.8725,23.276,1077,550.03,134.21,11.782,3.6902,85.317
1.1722,1025.3,65.626,2.85,23.215,1077.3,550.09,134.44,11.873,3.1766,86.431
0.72327,1025.4,64.393,2.8395,23.101,1076.2,550.15,133.82,11.797,2.562,84.708
0.48348,1025.8,64.144,2.8746,23.299,1078.2,549.96,135.36,11.897,2.1854,84.104
0.42953,1025.9,64.504,2.866,23.069,1077,549.73,134.47,11.805,2.4286,83.869
0.48238,1026.1,63.519,2.5481,20.185,1037.1,535.4,115.92,10.86,12.659,118.27
0.059447,1026,52.124,2.4651,18.478,1048.4,548.78,111.2,10.384,4.6896,104.56
-0.21598,1026.7,51.978,2.5301,19.438,1050.4,546.71,115.46,10.767,7.0983,116.96
0.0167,1026.8,54.805,3.3399,27.408,1085.6,540.72,148.05,12.79,3.8632,75.64
0.68481,1026.7,56.029,4.0703,34.213,1100,527.71,168.83,14.358,2.979,59.354
1.9995,1026.3,54,3.983,34.171,1100.1,530.64,166.13,14.182,2.5793,59.432
3.1663,1025.7,51.35,4.0683,35.162,1099.8,528.21,167.49,14.384,2.2228,58.432
3.6486,1025.3,51.649,4.0375,35.282,1100,530.04,165.89,14.257,2.2119,60.172
3.9207,1025.2,49.619,4.0455,34.648,1099.9,529.73,166,14.253,2.3487,60.255
3.9193,1025.1,51.181,4.04,33.944,1100,529.56,166.46,14.283,2.3095,59.778
3.0965,1024.8,55.35,4.075,33.873,1099.8,528.24,167.79,14.342,2.345,60.011
1.7596,1024.7,63.278,3.9926,33.249,1100,529.91,167.49,14.195,2.5317,60.746
0.93867,1024.8,65.617,4.0298,33.488,1100.1,528.95,168.31,14.312,2.6109,60.902
0.50713,1024.6,66.254,4.0629,33.794,1100,528.12,169.09,14.401,2.5376,60.859
0.15533,1024.3,66.477,2.9394,24.671,1076.2,548.33,135.72,11.824,3.8333,85.056
0.052442,1024,64.823,2.7916,23.298,1070.9,550.23,130.43,11.546,3.6518,86.895
-0.0821,1023.7,64.949,2.872,23.898,1075.4,550.21,133.77,11.737,3.7902,85.485
-0.51781,1023.3,69.287,2.867,23.692,1075.1,550.34,133.77,11.734,3.3021,85.342
-0.9986,1022.8,70.71,2.9023,23.462,1075.1,550.3,133.03,11.71,1.8773,84.164
-1.0841,1022.3,70.733,2.828,22.604,1071.9,550.31,130.41,11.526,1.7751,83.696
-1.1782,1022.1,71.123,2.5283,19.552,1034.3,536.35,112.69,10.667,3.4947,110.99
-0.76101,1021.7,67.056,2.508,19.129,1052,549.65,114.36,10.613,4.819,91.878
0.087578,1021.7,65.819,2.6304,20.108,1056.6,549.4,118.3,10.877,4.5298,89.741
1.4518,1021.5,61.996,3.0252,25.074,1077.7,549.91,133.43,11.856,1.3132,83.181
2.4984,1021.4,63.047,4.1293,34.459,1099.8,527.35,168.09,14.409,0.47544,60.106
3.3266,1021.7,66.119,4.0339,33.462,1100,530.37,166.2,14.227,0.87606,61.945
4.2115,1021.5,61.488,4.0265,33.495,1100,530.83,165.35,14.152,2.7161,63.731
5.1391,1021.5,59.337,3.9638,32.723,1100.1,532.72,163.96,14.061,3.0923,64.865
5.0453,1021.6,57.228,4.0197,33.137,1100,531.09,165.03,14.126,3.0077,64.007
4.6618,1021.6,60.676,4.0345,33.256,1099.9,530.44,165.57,14.136,2.6836,61.714
4.4074,1021.9,60.947,4.0935,33.836,1100,528.77,166.83,14.263,2.7014,60.213
4.281,1021.9,60.558,4.0705,33.955,1099.9,529.29,166.51,14.219,2.6258,60.981
3.7958,1021.8,60.91,4.0723,33.994,1099.9,529.04,167.29,14.306,2.6703,61.507
3.3547,1021.6,62.1,4.0714,33.827,1099.9,529.08,167.18,14.293,2.6669,61.46
2.8923,1021.1,66.424,4.0722,33.914,1100,528.86,167.9,14.294,2.6077,61.358
2.0483,1021.1,71.357,4.1103,34.151,1099.9,527.93,168.68,14.372,2.6023,60.548
1.83,1020.5,73.273,3.5265,29.696,1087.6,538.34,151.67,13.083,3.6218,72.238
1.8904,1019.7,74.198,2.9362,25.038,1077.7,549.88,135.3,11.812,3.7212,81.982
1.917,1018.8,74.153,2.6924,23.067,1058.9,547.08,123.17,11.131,6.1854,86.897
1.9133,1017.8,74.163,2.6152,21.753,1055.2,549.48,116.74,10.778,6.637,101.12
1.7046,1017.3,75.115,2.5992,20.61,1053.4,550.29,114.28,10.687,5.4031,83.034
1.3545,1016.5,75.283,2.5712,20.164,1053.4,549.79,114.41,10.554,4.4993,81.069
0.97337,1015.4,76.16,2.5844,19.853,1053.2,549.65,114.35,10.624,4.8751,81.231
1.0745,1014.4,77.225,2.5986,19.954,1053.7,549.66,114.69,10.749,4.9219,82.157
1.5034,1013.5,76.696,2.5787,20.342,1054,549.66,114.77,10.747,5.0782,84.12
1.8859,1012.5,76.903,2.5678,20.181,1055.2,550.19,115.83,10.656,5.0031,83.635
4.7414,1011.4,85.328,2.6405,21.901,1052.4,549.63,113.76,10.519,4.8359,77.263
8.4217,1010.3,74.105,2.6344,22.02,1051.8,549.77,113.69,10.495,5.0404,76.802
9.716,1009.5,70.263,2.886,24.746,1064.6,549.71,123.08,11.222,4.1312,73.564
10.74,1008.8,68.654,3.1704,27.375,1079.5,549.77,134.06,11.809,2.9333,69.379
11.415,1007.9,66.927,3.1611,26.64,1078.3,549.86,133.05,11.874,3.3732,69.477
11.766,1007.1,67.464,3.13,26.477,1078.3,549.95,133.22,11.916,3.47,69.652
11.353,1006.9,72.516,3.0802,26.554,1076.3,550.04,131.77,11.838,3.5554,69.506
10.692,1006.9,78.953,3.1014,25.786,1077.9,550.13,133.23,11.747,3.5066,68.439
9.9885,1006.9,85.275,3.0723,24.405,1078,550.2,133.53,11.71,3.5051,68.718
9.2895,1007.2,84.281,3.0692,24.161,1077.8,550.26,133.78,11.75,3.468,68.869
8.3505,1008,80.518,2.943,23.742,1077.1,550.32,133.43,11.723,3.6109,71.454
7.5733,1009,71.839,2.9088,23.677,1076,550.17,132.51,11.76,3.5993,73.652
7.1961,1009.9,65.087,2.7265,22.157,1059.1,544.67,123.81,11.25,6.7175,95.788
6.2532,1011.3,66.841,2.5992,20.695,1058.3,550.3,119.29,10.942,4.5415,77.115
5.6855,1011.7,69.495,2.9821,23.819,1076.9,550.16,133.52,11.844,3.4706,75.806
5.5742,1011.9,67.438,2.7617,22.126,1063,547.48,125.04,11.311,5.2331,81.157
5.4146,1012.1,67.829,2.4292,19.099,1039.2,544.78,109.81,10.418,7.8197,87.056
4.913,1012.3,63.164,2.6541,21.101,1059.7,548.58,121.76,11.096,5.328,87.189
4.2385,1012.3,66.918,2.973,23.696,1077.6,550.05,133.93,11.796,3.6275,77.797
3.6407,1012.2,67.552,3.2381,26.106,1084.6,545.87,142.24,12.351,3.4647,75.028
2.9389,1012.4,72.17,4.0072,33.012,1100.1,532.02,164.89,14.125,2.7787,61.716
3.8495,1012.7,68.282,3.9494,32.48,1099.9,533.8,163.33,13.98,2.5636,63.627
4.9438,1012.6,64.037,3.9315,32.645,1100.1,532.94,163.77,14.015,2.8564,64.093
5.5877,1012.4,61.391,3.8774,31.869,1099.9,535.61,161.72,13.857,2.6062,65.783
5.9879,1012.1,62.305,3.9754,32.876,1099.9,533.43,163.04,13.977,3.0445,63.861
6.3757,1011.7,59.324,3.8344,32.126,1098.4,536.59,159.27,13.714,3.1449,66.59
7.0174,1011.5,52.002,2.9854,26.928,1078.1,549.88,134.24,11.783,3.6935,76.425
7.389,1011.7,50.07,3.0378,27.808,1080,550.03,135.86,11.891,3.399,75.146
6.6267,1012.2,53.331,2.9944,26.414,1077.4,550.11,134.04,11.707,4.0606,77.062
5.5087,1012.7,55.561,3.0092,24.334,1077.9,550.05,134.82,11.778,3.8777,77.474
4.5124,1012.8,54.963,2.9528,23.569,1078,550.07,135.01,11.748,3.4769,78.371
3.516,1012.5,56.067,2.9269,23.488,1077.4,550.24,134.79,11.706,3.4982,79.608
3.0703,1012.2,56.624,2.8886,23.229,1075.6,550.47,133.51,11.686,3.5572,80.176
2.6519,1011.5,60.79,2.8556,22.462,1071.6,550.42,130.61,11.588,3.6395,81.71
2.4406,1010.6,70.311,2.8438,22.815,1073.2,550.08,131.95,11.543,3.6706,80.28
2.3235,1010.1,68.905,2.8019,22.553,1071.5,550.05,130.58,11.53,3.7925,81.459
2.423,1009.3,65.865,2.4151,19.876,1039.8,542.87,112.71,10.508,8.8886,92.005
2.3053,1009.2,67.219,2.3944,18.847,1034.6,540.58,110.81,10.408,9.5457,90.895
1.8974,1009.1,78.196,2.3688,18.783,1033.3,540.37,110,10.231,9.8176,92.391
1.8232,1007.9,70.688,2.4262,18.629,1046.4,549.29,110.42,10.325,6.216,92.398
2.0207,1007.6,69.154,2.3872,18.038,1039.3,547.11,106.91,10.337,8.9255,119.68
2.0987,1007.8,67.308,2.4127,18.376,1045.4,549.52,109.57,10.352,6.7056,97.347
2.0555,1008,66.123,2.4296,18.603,1046.6,549.84,110.57,10.416,6.4282,93.426
1.8488,1008.4,65.453,3.6053,29.367,1086.4,536.74,150.97,13.128,4.0116,77.148
1.8404,1008.8,65.211,3.9715,33.054,1100.1,532.03,165.55,14.146,2.8588,64.153
2.1479,1009,63.952,4.007,33.468,1099.8,530.5,167.09,14.221,2.7916,64.562
2.8161,1009.2,59.68,3.9409,32.839,1100,532.45,165.62,14.084,2.741,65.623
3.4249,1009.4,54.908,3.9819,33.102,1100,531.82,165.63,14.12,2.7737,65.073
3.6133,1009.7,53.286,3.9276,32.717,1100,533.22,164.66,14.029,2.8627,65.905
3.6762,1010.2,50.595,3.9368,32.76,1099.8,532.97,164.7,14.053,2.8466,66.105
3.5235,1010.9,51.275,3.9472,32.597,1099.8,533.16,164.78,13.996,2.7573,65.393
2.077,1013.8,61.263,3.7562,34.128,1095.7,535.19,160.38,13.691,1.8823,67.769
1.7858,1014.2,62.448,2.3938,21.897,1023.4,532.8,108.94,10.485,14.022,103.86
1.5405,1015,64.41,2.3822,20.987,1023.4,532.94,108.96,10.489,13.836,104.95
1.2194,1015.8,64.414,2.3781,20.474,1023.8,533.03,109,10.514,13.932,106.59
0.71835,1016.4,65.821,2.5666,21.589,1048.4,541.82,120.19,11.008,9.4781,97.309
0.37115,1017.3,69.401,2.3863,19.884,1023.7,532.22,109.31,10.479,15.986,110.84
-0.48795,1018.9,70.67,2.3735,19.007,1034.7,540.45,110.1,10.398,11.289,116.03
-1.4042,1021.1,68.896,2.4012,18.991,1040.7,543.56,112.05,10.534,9.1157,106.53
-1.7088,1022.3,66.518,3.102,25.26,1083.6,547.21,142.16,12.296,4.1911,85.733
-2.2845,1023.4,65.756,3.3795,28.111,1099.8,547.09,155.12,13.069,2.8775,79.495
-3.0659,1024.4,62.778,3.7903,31.894,1099.8,534.48,164.78,13.885,2.8084,68.658
-3.3038,1025.4,59.547,3.5164,29.58,1100.2,542.49,159.23,13.375,2.8682,75.366
-3.2817,1026.4,56.04,3.3987,28.787,1099.8,544.99,157.71,13.209,3.2402,74.199
-3.289,1027.1,51.789,3.3043,28.014,1100,547.95,155.48,13.083,3.4726,85.367
-3.3057,1027.4,45.667,3.3313,28.114,1100,547.35,155.81,13.096,3.0517,84.334
-3.0785,1028,44.637,3.4759,29.183,1100,543.53,158.6,13.357,2.649,76.904
-3.0784,1028.6,44.247,3.6082,33.198,1100.1,538.48,162.4,13.635,2.1716,69.515
-3.2766,1029.3,47.798,4.0868,35.98,1099.9,524.67,172.55,14.631,2.7476,60.829
-3.6358,1030.2,49.327,4.0361,34.743,1099.9,525.95,172.01,14.548,2.5435,61.681
